,Median,Min,Max,Range,IQR
dimension1,8.64,-2.59,19.69,22.28,8.13
dimension2,9.37,1.5,20.88,19.38,4.85
dimension3,8.2,-3.87,17.23,21.1,6.98
dimension4,-3.59,-7.03,-1.41,5.62,2.01
dimension5,1.41,-0.16,4.68,4.84,0.84
