,Median,Min,Max,Range,IQR
dimension1,7.83,-5.16,25.45,30.61,8.96
dimension2,7.16,-3.15,19.66,22.81,8.11
dimension3,8.91,-3.58,26.25,29.83,9.69
dimension4,-2.92,-6.79,2.19,8.98,1.65
dimension5,1.18,-0.81,4.58,5.390000000000001,1.22
