,Median,Min,Max,Range,IQR
dimension1,5.84,-2.4,14.48,16.88,5.37
dimension2,7.44,0.51,23.57,23.06,5.31
dimension3,7.04,-3.46,15.13,18.59,6.04
dimension4,-3.16,-5.48,3.51,8.99,2.45
dimension5,2.12,0.52,4.86,4.34,1.44
