,Median,Min,Max,Range,IQR
dimension1,-5.1,-12.34,0.4,12.74,4.27
dimension2,-5.25,-10.26,-1.44,8.82,2.69
dimension3,-1.8,-13.22,6.64,19.86,7.5
dimension4,-1.7,-7.06,3.8,10.86,2.81
dimension5,-2.07,-8.01,3.67,11.68,3.75
