,Median,Min,Max,Range,IQR
dimension1,7.65,0.04,16.33,16.29,5.31
dimension2,6.89,0.88,23.52,22.64,6.11
dimension3,8.68,-1.84,16.43,18.27,5.37
dimension4,-3.4,-6.53,-0.09,6.44,2.07
dimension5,1.38,-0.03,2.56,2.59,0.67
