abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
40.71,3.47,3.47,8.32,0.0,3.57,2.77,4.51,8.32,7.14,2.86,4.29,12.14,6.59,18.57,2.43,13.86,18.72,4.85,57.89,4.51,16.64,8.57,1.79,0.0,2.43,230.0,162.86,228.77,603.12,36.05,29.29,178.93,20.8,45.41,4.85,1.52,3.47,27.73,4.16,30.16,215.36,1.39,10.75,1.39,1.39,6.93,9.64,0.0,1.04,0.0,3.83,6.93,25.67
18.84,8.71,13.87,8.06,0.0,3.42,3.23,5.81,17.74,4.11,0.34,5.82,23.55,4.52,15.41,1.29,20.97,27.1,2.9,77.74,12.26,27.42,14.38,1.37,4.45,5.48,312.33,203.77,138.39,518.71,23.87,6.16,128.42,7.74,26.45,5.16,1.43,0.65,49.35,4.84,43.87,199.66,6.77,27.42,3.55,13.87,17.1,61.3,0.34,1.29,0.0,3.63,6.23,16.28
27.83,3.42,9.42,5.14,0.0,3.85,1.28,11.56,6.42,25.26,2.14,4.71,17.56,4.28,17.55,1.28,22.26,23.97,3.0,58.22,12.84,23.97,10.27,4.71,1.28,3.0,321.92,183.65,165.67,535.96,37.67,15.41,134.85,14.13,26.97,2.57,1.38,0.43,43.66,4.28,44.09,244.86,1.28,21.83,2.14,1.71,12.41,22.26,0.0,2.14,0.0,3.94,6.94,32.84
27.54,2.55,9.35,3.82,0.0,9.32,0.85,5.1,8.92,26.27,2.97,3.81,22.52,6.37,14.83,3.4,16.99,32.71,4.25,84.96,8.5,24.21,16.53,2.97,0.85,3.82,300.85,149.15,169.92,533.36,21.67,11.44,155.93,14.02,27.61,2.97,1.4,1.7,34.41,5.95,44.62,232.2,0.85,18.69,0.42,2.55,15.72,6.78,0.42,2.55,1.27,4.01,7.31,26.75
44.8,0.43,3.46,4.33,0.87,23.04,1.73,2.17,20.79,5.12,0.43,0.85,19.07,25.12,21.76,6.93,19.92,27.28,4.76,97.44,7.8,6.06,14.93,5.97,1.28,2.6,269.62,173.63,144.22,591.6,39.41,21.33,198.38,10.39,16.02,3.46,1.45,4.33,29.45,0.0,34.65,214.59,3.46,7.8,2.17,2.17,8.66,6.83,0.0,2.6,0.0,4.84,8.22,39.4
51.56,7.1,5.43,5.85,1.67,9.98,2.93,4.6,10.03,4.16,0.42,3.74,12.11,5.85,13.31,3.76,20.48,22.15,2.93,74.38,7.1,10.03,29.11,12.06,3.74,2.09,217.46,175.47,210.61,648.98,68.12,26.61,218.71,10.87,57.67,4.6,1.5,4.18,23.82,1.25,31.76,195.84,0.84,9.61,1.25,2.09,2.93,1.66,0.0,3.34,12.89,5.84,8.73,26.01
31.59,0.84,0.84,3.34,1.25,2.91,0.84,2.92,11.27,4.99,0.83,1.25,8.78,3.34,8.31,5.01,17.12,22.96,3.34,68.06,9.19,15.45,12.88,4.99,0.42,2.51,228.6,134.25,232.99,625.89,34.66,24.94,167.08,10.86,51.36,8.35,1.46,2.92,28.81,3.34,44.26,274.73,0.42,10.86,3.76,2.51,7.52,5.82,0.0,3.34,1.25,4.97,7.78,38.43
36.52,6.16,10.15,4.71,2.17,8.85,1.45,5.07,12.32,16.97,1.11,6.27,15.22,11.6,11.8,6.16,18.48,22.83,2.54,82.28,12.32,31.53,14.75,1.84,2.58,3.26,230.17,138.33,176.88,550.76,34.07,9.96,171.52,6.89,30.45,3.99,1.51,1.09,27.18,1.45,35.53,246.03,2.17,10.51,1.81,1.81,11.96,5.16,0.37,3.26,0.0,3.84,6.95,23.2
20.31,2.61,4.9,6.2,0.33,2.41,2.61,6.86,13.06,25.82,1.72,3.79,18.94,5.22,15.83,3.92,14.04,31.99,2.94,82.93,4.24,15.67,8.95,2.41,2.41,3.26,264.03,146.3,160.63,556.17,29.05,15.15,151.12,9.14,27.42,5.55,1.47,0.98,39.83,2.29,47.68,282.62,4.24,14.04,4.57,2.29,13.39,16.87,0.69,4.57,1.38,4.43,7.37,31.63
29.5,2.63,3.94,1.64,1.64,1.03,0.0,1.31,5.26,2.06,1.03,1.72,12.49,1.64,8.92,9.53,17.41,13.47,2.3,58.8,4.6,22.67,13.72,4.46,1.37,1.31,184.56,111.49,226.68,558.48,32.19,19.55,149.57,8.87,45.01,4.6,1.53,1.97,26.94,16.75,40.74,274.1,1.31,16.1,2.3,2.96,12.81,12.69,0.69,1.31,2.06,4.8,7.65,25.98
