abstract,ACL,ACL_std,adversative_conj,AMP,analytic_negation,ASL,ASL_std,attributive_adjective,aux_adj,AWL,BE,book,BPIN,BYPA,CAUS,classical_functional_words,classical_syntax,classifier,CONC,COND,dash,DEMP,descriptive,di_verbs,disposal_marker_ba,disposal_marker_jiang,disyllabic_words,DPAR,DWNT,emotion,english,EX,exclamation,experiential,FPP,FPPH,HDG,honourifics,HSK_1,HSK_3,HSK_6,humbles,imperfect_aspect,INPR,interrogative,intransitive,JJ,KEMD,lexical_density,men_suffix,modify_adv,modify_marker_de,modify_marker_dedi,modify_marker_di,MOMD,mono_verbs,NEMD,nn,NOMZ,noun,onomatopoeia,OR,other_conj,other_personal,particle,PEAS,performative_verb,person,PHC,PIN,place,PRIV,PUBV,purpose_prep,question,quote,RB,similie,SMP,SPP,STTR,synthectic_negation,TIME,TPP,unique,verbverb,WH
9.01,4.86,3.93,0,18.41,15.19,22.64,20.28,7.17,2.11,1.31,12.66,0.84,0.42,0.84,1.18,0.42,1.57,35.02,2.35,1.27,24.89,17.3,0.84,190.65,2.11,0.42,2.35,0,0.39,8.23,1.96,5.49,10.55,1.69,46.61,7.44,0,32.9,299.65,157.85,100.67,0,10.55,3.53,9.28,23.63,34.18,0,714.64,0,21.1,1.69,26.58,4.64,6.27,179.58,6.66,24.89,13.5,166.67,0.84,0,5.06,3.8,23.63,17.72,0,14.35,1.27,21.94,18.14,17.31,22.36,0,10.55,25.32,67.09,0.42,0,30.55,215.82,1.69,8.44,3.53,120.25,19.41,4.22
5.59,3.37,3.77,0,10.81,16.97,8.9,6.53,17.78,2.02,1.4,15.35,0,0,1.21,0.75,0.81,1.86,23.03,1.49,0.81,34.75,25.86,0.4,207.05,4.04,0,3.73,0,0.75,13.05,0,5.25,8.89,1.21,27.95,14.91,2.98,1.86,228.85,113.31,67.83,2.61,8.89,3.73,8.48,14.14,33.54,1.49,707.78,0.81,23.03,1.62,19.8,6.06,1.86,211.45,1.86,23.03,13.73,159.6,0.4,0,3.64,8.48,30.71,19.39,0,41.21,2.42,17.78,9.29,13.33,23.43,0,10.1,9.7,72.32,0,0,11.93,218.04,0.4,19.39,2.24,119.64,16.16,2.42
22.23,6.34,3.83,1.59,17.07,19.86,28.64,19.04,2.53,3.8,1.39,13.1,1.69,1.27,0,4.76,0,1.19,23.24,2.38,2.11,58.72,30.84,1.27,165.57,1.69,0,9.53,0,1.19,15.48,0,4.22,14.79,2.96,27.79,0,3.57,9.92,264.39,166.73,124.65,0,9.72,2.78,17.32,22.81,21.97,9.53,703.28,0,24.5,1.69,23.66,0,3.57,224.59,3.97,18.17,13.09,128.43,2.96,1.59,2.53,10.14,56.61,6.76,0,64.22,0.84,14.79,9.29,19.42,21.55,0,13.52,0.84,67.17,3.38,1.19,30.17,329.5,1.69,12.67,15.88,213.58,18.59,6.76
11.81,10.97,22.27,0,10.06,22.14,77.86,205.53,2.98,0.43,1.4,14.47,0,0.43,0,0.87,0,3.5,23.84,2.19,2.55,59.6,31.08,0.43,137.17,2.13,0,4.37,0,1.31,22.75,0,6.39,3.83,1.28,27.56,0,2.19,3.5,225.28,179.35,116.36,1.31,7.24,0.44,26.82,16.6,32.35,0,643.81,0.85,21.71,1.7,14.9,1.28,3.06,261.06,4.37,5.53,2.13,101.75,2.13,0,0.85,4.68,69.39,10.22,0,60.03,0.85,18.31,27.25,20.43,5.96,0,11.92,0,52.79,1.28,0,10.06,424.76,0.85,4.26,7.87,304.02,15.75,6.39
15.4,5.8,2.79,0.83,23.73,30,18.36,9.86,1.2,2.4,1.46,16,0,0.4,0.4,2.08,0.8,2.08,19.6,2.08,0.4,52.4,23.2,0.4,168.67,3.2,0,8.33,0,2.08,11.66,0.42,2.8,1.6,0.8,5.41,0,1.25,1.25,254.79,167.36,109.49,3.75,6,3.75,20.8,20.8,27.2,1.67,712.56,0.8,19.6,2.4,16.4,0,2.5,235.8,3.33,10.8,6.4,116,1.2,0.83,0.4,5.6,61.2,7.6,0,49.6,1.2,22.4,19.6,17.6,14.4,1.25,4,2.4,65.6,0.4,0.83,4.58,378.02,2,6,34.14,262.7,16,3.2
19.49,6.44,3.85,0.8,5.97,17.25,29.29,22.82,4.41,2.81,1.54,8.82,0.4,0.8,1.2,2.39,1.6,3.98,42.52,0.4,3.21,18.85,11.63,0.4,194.32,0.8,0.4,15.91,0,1.59,11.14,0,6.42,10.43,0.8,11.54,0,2.39,1.59,182.58,111.77,151.55,0.4,16.85,6.76,6.82,28.88,25.67,2.78,729.26,0.8,26.47,2.01,32.49,2.01,6.76,150.66,7.16,22.06,9.63,157.64,0.8,0.8,2.81,4.01,24.87,8.42,0,17.25,6.42,28.08,18.05,19.26,11.23,0.8,4.81,25.27,75.01,0.8,0,5.97,385.04,1.2,14.44,8.35,255.77,12.43,1.6
19.91,4.22,3.48,1.95,10.54,10.63,13.31,11.06,6.3,3.15,1.42,9.45,0,0,2.76,2.34,0.39,1.56,28.36,0.78,1.18,14.57,10.63,5.51,213.1,2.36,0,6.25,0,0,15.23,0.39,3.94,11.42,1.97,9.76,0,2.34,2.73,247.95,139.4,136.67,1.17,21.66,16.4,3.15,18.12,38.2,4.3,743.62,0,21.66,2.76,37.42,8.27,6.25,182.02,8.2,31.9,16.54,170.93,2.36,1.95,7.09,2.76,19.69,14.97,0,33.87,2.76,32.69,27.96,14.19,7.88,0,9.45,21.07,66.96,1.58,0,13.67,330.34,1.58,1.97,14.06,219.06,20.87,1.18
18.76,6.22,3.73,1.17,11.73,9.59,19.13,11.89,6.52,1.92,1.42,21.86,1.15,0.38,0.77,8.6,0.38,1.95,42.94,0.78,3.45,20.32,14.19,0,214.94,3.83,0.38,7.04,0.78,1.56,28.93,1.56,6.9,8.05,0.38,23.46,1.56,2.74,5.47,280.3,154.81,126.66,8.99,14.57,4.3,10.35,17.64,31.44,2.74,726.44,1.53,20.32,3.45,34.51,4.22,4.3,129.89,3.52,32.59,20.33,167.18,0.38,1.17,5.37,2.68,18.4,11.5,0.38,3.83,4.98,24.16,26.84,14.96,10.74,3.13,11.89,27.42,58.28,0.77,0,19.16,334.64,1.53,9.2,10.16,213.45,17.25,1.92
15.4,5.92,3.46,0.42,15.81,19.43,21.88,16.46,3.31,1.24,1.4,14.47,0.41,0,0,0.42,1.65,0.83,28.52,0.83,0.41,75.65,29.35,0.83,148.21,0.41,0,9.99,0.42,0.42,12.9,0.83,7.85,8.27,4.96,25.38,2.91,2.91,7.49,258.01,129.42,143.99,0,11.58,3.75,11.58,21.08,43.41,4.58,663.03,0,27.7,0.41,28.11,1.24,7.07,195.01,5.83,14.47,9.1,115.75,0.83,0.42,1.24,7.03,49.61,13.23,0,47.54,1.24,51.67,17.36,14.88,9.09,1.66,10.75,6.41,70.69,1.65,0.42,6.24,350.4,3.31,6.61,12.48,223.05,15.71,2.48
10.51,6.04,4.13,0,15.97,24.06,22.79,18.61,1.97,1.58,1.3,16.57,0,0,0,0.42,0,0.84,21.7,0.42,0.79,69.03,28.4,0.39,108.87,1.97,0,6.73,0,0.84,15.55,5.04,9.07,20.12,0,23.12,0.42,0.42,9.25,301.81,153.85,97.52,4.62,7.89,4.62,11.83,14.2,43.39,3.36,651.21,0,23.67,1.58,15.78,0,5.46,207.66,5.46,10.26,1.97,108.88,1.18,0,2.76,3.16,67.06,2.37,0,55.23,0,19.33,31.56,7.88,6.31,0.42,15.38,2.76,65.88,0.79,0,11.35,322.4,3.94,1.97,11.77,200.92,12.62,3.16
17.37,4.93,3.47,0.4,13.74,22.84,19.79,19.52,9.55,3.74,1.35,15.37,0.83,1.66,0.42,2.02,3.74,0,32.81,1.21,2.08,22.01,24.92,1.66,179.36,2.91,0.83,9.29,1.21,1.62,17.78,19.39,8.72,2.91,0.83,18.59,3.64,0.81,22.22,268.28,157.98,122.83,0,3.32,2.42,8.72,11.21,39.04,1.62,678.13,0.42,24.09,1.25,33.64,0.42,4.44,165.85,5.66,23.26,9.14,160.3,1.66,0.4,7.89,7.89,23.67,6.64,0,17.44,4.15,23.26,19.1,18.7,12.04,0,8.72,12.46,84.3,2.08,0,6.06,271.52,3.74,4.15,6.87,164.04,22.43,2.91
16.9,4.34,3.47,0.42,10.98,21.59,20.51,19.37,0,2.36,1.37,11.39,0.39,0,0.39,0.84,0.79,0,22.38,3.8,0.39,30.62,12.56,2.36,170.69,0.79,0,2.53,0.42,0.42,11.83,0.84,6.67,12.96,2.36,32.95,4.65,0,11.83,278.83,143.22,98.86,0,7.46,4.65,10.99,18.06,33.37,0.84,679.76,1.18,23.95,1.96,29.84,1.18,3.8,191.84,4.65,50.26,19.24,224.97,0.39,0.42,3.53,3.14,25.52,5.89,0,6.28,4.71,20.81,23.56,11.78,18.06,0.42,20.42,39.85,67.53,1.18,0,20.7,257.29,2.75,12.96,4.65,146.6,18.85,5.5
