abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
17.48,7.49,10.41,5.83,0.0,8.94,2.5,5.83,11.24,18.7,2.85,3.25,12.91,0.83,16.67,9.58,12.07,28.31,3.75,91.17,3.33,22.48,19.11,2.85,0.81,0.42,282.11,169.51,194.0,571.96,16.24,7.72,114.63,3.75,29.14,5.0,1.34,0.83,24.15,27.89,73.63,236.99,0.83,8.74,3.33,2.5,13.74,28.05,0.0,1.67,0.0,4.66,7.63,31.79
15.18,3.54,14.94,4.33,0.0,5.59,0.39,5.11,13.37,32.75,3.19,5.19,21.25,0.39,10.38,0.39,14.16,17.7,3.93,59.38,1.57,19.27,14.38,1.6,1.2,1.97,276.36,121.41,156.11,497.05,21.24,10.38,130.59,6.69,23.2,2.75,1.38,2.75,34.21,20.45,46.4,287.94,4.33,23.99,3.15,3.15,20.06,21.57,0.4,2.36,0.0,2.83,5.48,20.39
18.94,8.86,19.57,9.6,7.75,7.58,2.58,12.19,15.88,30.72,1.68,2.53,15.88,4.43,23.99,0.37,12.19,22.53,4.06,70.53,8.12,19.94,14.31,2.53,1.26,0.74,294.61,164.98,168.39,540.05,15.51,6.73,110.69,2.58,26.96,3.69,1.33,0.37,36.56,8.12,49.46,239.48,5.17,19.57,1.48,7.75,14.77,21.04,0.42,3.32,0.0,3.39,7.0,27.61
6.55,8.23,17.2,4.49,1.12,3.69,1.5,12.34,13.09,2.46,10.24,5.32,13.84,1.12,5.73,4.49,10.1,22.06,0.75,71.05,4.11,16.08,7.78,0.41,0.41,1.87,190.42,106.06,179.51,510.48,14.59,6.55,121.62,2.62,30.29,4.86,1.3,0.75,25.43,10.47,65.49,282.56,8.23,23.56,3.37,7.85,10.1,16.38,0.41,2.62,0.0,3.34,6.33,25.54
20.64,6.16,22.73,6.55,7.7,2.06,2.7,22.34,10.79,41.68,2.06,3.3,15.81,0.77,7.43,0.77,11.94,30.05,0.39,77.81,2.31,18.49,9.49,1.24,3.71,1.54,301.28,148.99,136.75,480.35,15.02,11.56,106.48,8.09,22.73,2.7,1.45,2.31,40.83,50.08,48.54,218.32,6.16,13.48,3.85,0.77,19.26,26.0,0.83,2.7,0.0,3.07,6.14,12.38
21.11,5.31,13.28,3.79,1.52,4.78,1.14,9.1,15.17,24.69,0.8,7.96,24.29,1.14,18.32,0.38,15.17,27.31,2.66,69.04,5.31,15.55,13.54,1.59,0.8,1.14,264.44,148.55,181.34,515.36,17.83,6.37,117.48,9.86,22.38,1.9,1.42,0.76,26.56,21.24,55.37,234.97,6.07,18.21,3.03,0.76,21.24,9.16,2.39,4.55,2.39,3.51,5.7,26.9
5.14,1.14,7.59,3.8,1.52,8.3,2.28,7.21,8.73,31.63,1.19,2.37,18.61,6.07,11.86,3.8,18.6,24.68,0.76,75.93,7.59,24.3,18.19,0.0,1.19,1.9,263.74,161.72,181.09,556.95,28.47,3.56,96.09,14.81,25.06,5.32,1.38,1.9,30.37,20.88,47.08,266.51,5.69,13.67,4.18,3.42,19.36,36.38,0.79,1.52,0.0,3.35,6.44,17.87
6.53,5.12,14.17,9.45,1.18,8.16,3.94,10.24,18.11,10.2,6.12,3.67,22.83,7.09,13.05,1.57,25.98,34.65,1.57,87.4,9.45,26.38,11.42,0.82,1.63,1.57,272.43,133.36,157.48,543.2,27.17,4.08,88.09,1.97,27.17,1.97,1.4,0.39,29.13,30.71,47.73,247.96,6.3,22.05,0.79,5.91,12.2,20.39,0.41,2.76,0.0,3.65,5.29,21.5
15.51,8.22,25.04,6.65,7.82,5.87,2.35,6.26,16.82,5.45,3.77,1.68,11.34,1.17,16.76,0.78,10.95,27.0,3.13,70.42,6.65,13.69,9.22,0.84,1.26,1.96,256.5,161.36,191.71,525.64,12.13,3.77,119.87,2.74,28.17,2.35,1.48,0.39,33.26,32.47,59.49,241.41,9.39,22.69,5.09,3.13,17.21,36.88,1.26,5.09,0.0,3.37,5.59,16.8
21.1,2.75,6.27,3.92,0.0,0.41,1.57,1.96,10.98,0.41,0.41,2.43,18.03,0.78,14.6,1.57,9.41,31.37,2.35,89.41,5.49,24.71,16.23,2.03,2.43,3.53,200.41,143.2,143.53,534.69,17.65,13.79,156.59,5.88,26.27,3.53,1.5,0.0,34.12,4.71,50.57,301.01,8.63,36.47,9.02,5.1,16.08,12.98,0.41,3.14,0.0,3.77,5.61,23.16
24.81,1.54,13.08,4.23,1.92,18.5,1.92,7.7,16.16,18.5,0.84,5.05,16.15,5.39,13.46,2.69,28.47,33.47,2.69,91.19,6.54,23.86,9.67,1.26,1.26,1.15,291.42,172.83,168.53,535.98,25.39,4.21,116.06,5.77,28.86,3.85,1.45,1.15,37.71,25.39,45.79,243.48,4.62,14.62,2.69,4.23,12.31,21.87,0.42,1.54,0.0,3.66,6.38,18.81
11.31,12.04,28.09,6.2,5.11,12.14,1.82,10.94,15.69,9.21,0.42,2.93,27.36,2.19,15.08,0.73,12.77,30.28,1.09,81.72,6.57,14.23,10.47,1.68,1.68,3.65,257.96,180.9,120.39,480.85,13.87,2.51,92.13,3.28,16.42,3.65,1.37,1.09,29.55,4.01,36.12,216.92,2.19,23.35,2.19,0.36,16.05,28.89,0.0,0.73,0.0,4.62,8.51,20.12
11.67,4.71,12.55,8.63,0.78,0.0,3.53,14.51,16.86,0.0,1.25,2.92,27.85,3.92,17.08,3.14,20.0,35.29,4.71,86.27,5.88,26.27,15.0,2.5,3.33,4.31,233.33,152.5,134.51,514.9,14.11,8.75,131.25,4.71,14.12,3.14,1.48,0.39,46.67,1.18,56.47,300.0,1.57,21.57,1.96,4.31,14.9,45.42,0.42,3.92,0.0,3.61,6.08,23.99
24.12,4.66,17.49,3.5,0.0,1.64,1.17,17.49,13.99,2.04,1.64,2.86,16.34,3.89,12.26,1.17,12.83,31.48,4.28,85.89,8.16,20.99,11.45,3.68,2.04,2.33,237.94,138.18,175.28,479.77,15.16,8.99,152.9,2.72,14.38,1.94,1.49,0.78,34.98,33.42,35.41,284.14,6.22,16.71,2.33,5.05,18.27,21.67,2.04,1.17,0.41,3.63,6.09,22.74
14.54,6.17,18.5,7.71,3.85,12.25,3.47,10.02,10.4,48.6,6.51,4.59,15.42,6.17,9.95,0.0,11.95,26.2,2.7,68.98,6.55,20.81,16.46,2.68,3.83,4.24,316.11,181.78,163.01,526.19,11.94,5.74,88.79,1.54,22.74,2.31,1.37,0.0,34.68,20.04,54.31,155.38,7.32,33.91,3.47,3.47,20.81,34.83,2.3,2.7,0.0,2.54,5.51,15.12
15.05,5.35,14.15,6.5,0.76,11.29,3.06,6.12,15.68,36.79,4.18,5.43,22.93,3.82,9.2,3.06,16.06,37.09,7.27,92.93,2.68,26.39,12.96,1.67,2.09,3.82,314.38,176.84,123.52,504.59,21.04,4.18,105.35,6.5,15.3,2.68,1.42,1.15,24.86,16.83,40.52,236.2,1.15,21.41,1.53,3.82,17.97,21.32,2.93,3.44,0.84,3.13,5.99,27.81
21.79,9.67,12.49,8.87,8.46,8.22,4.84,6.85,19.35,27.96,1.64,2.06,18.54,4.03,23.44,8.06,15.32,27.41,3.22,97.94,5.24,15.72,13.98,2.47,4.52,0.81,297.7,144.74,123.74,498.99,15.31,9.46,113.49,3.22,15.32,2.82,1.45,0.0,26.2,22.97,51.55,177.22,0.81,21.77,3.22,0.81,15.72,28.78,0.82,2.42,0.41,3.41,5.08,16.74
11.45,10.12,15.78,6.07,4.05,3.27,2.83,6.07,6.88,6.54,0.82,2.45,16.19,2.43,14.72,1.62,14.57,17.81,2.43,61.92,2.43,22.26,14.72,0.41,2.45,1.62,256.34,172.94,157.02,481.0,19.43,4.91,91.58,4.86,25.5,2.02,1.38,0.0,30.35,23.47,39.21,195.01,8.09,30.35,8.9,8.5,10.52,20.85,2.04,4.45,0.0,2.92,5.32,20.84
18.67,6.45,17.34,8.06,0.0,17.86,1.21,22.98,22.58,15.42,0.41,2.03,27.82,9.27,16.64,1.21,22.18,29.03,3.63,93.95,4.84,14.52,19.07,3.65,1.22,4.03,294.64,190.34,114.52,506.05,25.81,7.31,104.71,4.03,12.5,1.61,1.44,2.42,22.18,13.71,41.53,213.47,0.4,14.11,0.81,0.81,8.87,41.8,0.41,3.63,0.0,2.74,6.02,18.7
