abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
13.18,5.66,12.93,4.85,7.28,3.71,2.83,4.04,14.55,39.54,0.82,4.53,16.57,2.83,17.3,6.47,13.74,31.93,2.83,86.5,1.62,23.04,9.47,0.82,1.24,1.62,283.36,147.86,148.34,506.47,12.12,7.83,140.03,4.85,24.66,2.02,1.36,0,35.97,10.11,48.91,214.99,6.06,20.61,6.06,0,20.21,14.42,0.41,4.45,0,5.69,8.06,28.98
16.78,2.92,5.43,3.34,1.67,2.05,2.09,2.51,12.11,6.96,4.09,1.64,15.46,2.92,7.37,4.18,10.44,18.79,6.68,67.64,5.43,13.78,10.23,6.96,3.68,0.84,191.16,94.97,177.04,544.66,18.79,11.05,115.02,7.52,32.99,2.51,1.46,0.42,24.22,8.77,63.44,280.8,4.59,16.7,5.43,3.76,12.53,7.78,0.41,3.34,0.41,4.57,7.37,31.14
15.92,3.85,3.85,3.42,0,0.86,0.86,4.7,4.7,4.3,0.86,2.58,7.7,3.42,13.77,9.84,14.54,25.66,2.14,82.55,3.85,44.05,15.92,3.01,3.01,0,234.51,184.6,267.32,574.85,8.13,6.02,137.69,6.42,62.02,2.14,1.33,1.71,39.35,18.82,47.9,240.53,1.71,18.39,5.56,2.14,10.69,29.26,1.29,3.42,0,5.34,9.32,29.17
8.14,6.3,20.58,10.92,2.1,12.62,4.62,9.66,15.54,13.02,3.26,1.22,21.42,10.08,14.65,2.94,18.48,25.62,2.94,84.84,6.72,31.08,10.18,2.04,3.26,2.52,265.36,152.22,181.02,517.63,12.6,6.11,126.17,6.3,27.3,2.52,1.33,0.84,28.98,26.88,52.06,226.29,2.94,21.42,1.26,1.68,18.06,12.21,0,3.78,0,4.23,7.27,27.91
8.7,13.44,14.25,8.14,13.84,3.73,3.26,13.44,19.54,12.43,0.41,1.24,21.17,8.14,9.12,4.07,23.21,28.09,2.85,95.28,4.07,21.17,11.6,2.49,0.83,1.63,218.81,148.36,159.61,512.81,12.21,12.02,146.29,6.11,16.69,1.63,1.35,0.81,20.36,26.87,47.58,285.95,3.66,13.44,2.04,0.81,11.81,38.96,0.83,2.04,0,3.67,6.31,17.84
6.88,0,4.47,7.16,0.89,0.86,0.45,1.34,9.84,0.43,1.29,2.15,18.33,7.6,5.59,12.08,14.31,28.18,6.26,85.87,6.26,33.99,5.59,0.86,0.86,4.47,205.84,122.05,194.99,562.67,21.47,7.74,103.14,11.63,29.52,6.71,1.35,2.24,29.96,19.68,42.08,198.54,0.89,17.44,9.39,1.79,9.39,1.29,1.72,2.24,0,4.48,7.88,21.58
13.77,2.21,7.06,3.53,3.53,8.76,1.32,6.18,5.3,20.87,10.02,8.76,9.71,2.21,12.94,2.65,9.27,18.54,1.77,52.54,6.18,23.84,15.03,2.92,2.09,2.21,280.05,149,229.14,545.25,22.08,9.6,111.02,7.95,46.8,2.21,1.36,1.77,30.02,14.13,47.68,205.34,2.21,30.02,3.97,6.62,12.36,3.34,0,1.32,1.67,4.05,7.2,27.51
11.2,4.78,11.73,5.22,2.61,16.41,0.87,8.69,13.04,36.81,14.41,4,16.08,2.17,12.81,2.61,17.82,23.9,3.48,70.84,4.78,23.9,24.41,0,0.4,3.04,274.11,142.86,194.26,527.6,19.99,4.4,94.84,5.22,36.07,3.91,1.28,1.3,34.77,11.73,45.2,205.68,1.74,26.08,2.61,4.78,12.17,6,0,1.74,0,4.67,7.27,34.7
25.39,7.3,11.59,3.86,3.86,1.31,2.15,8.16,10.3,0.44,0.88,3.5,15.89,5.58,10.51,5.58,20.18,31.34,5.58,80.72,3.43,24.9,21.45,8.76,3.06,2.58,230.74,133.1,184.2,533.28,27.91,17.08,172.5,7.3,34.78,1.29,1.37,1.29,22.33,7.73,40.79,203.15,4.29,17.17,3.01,3.86,9.88,16.64,2.19,3.01,3.5,5.46,9.62,60.7
19.62,0.87,14.76,3.91,1.74,3.92,2.17,7.82,16.93,9.59,5.23,2.62,16.06,10.42,4.36,1.3,16.5,27.36,3.04,82.07,3.91,24.32,10.9,2.62,1.31,1.74,232.78,139.93,171.95,530.61,17.37,16.13,152.57,6.51,31.26,3.47,1.43,0.87,35.17,15.63,39.51,292.94,6.08,20.41,4.78,3.91,12.16,13.95,0.44,1.3,1.31,4.63,9.06,30.85
12.02,1.71,11.13,8.13,0.86,13.73,4.28,6.85,10.7,18.03,4.72,4.29,20.11,1.71,14.16,8.13,18.84,26.97,4.28,77.91,5.99,26.11,17.6,1.29,1.72,3,286.27,141.2,184.08,550.13,18.41,6.87,128.76,8.56,26.97,5.99,1.36,0.86,27.83,21.83,37.28,278.54,0.86,9.42,1.71,1.28,10.7,12.02,1.29,0.43,0.86,4.77,9,31.35
16.95,5.99,7.11,4.87,6.36,13.98,1.5,5.99,15.72,20.76,1.69,2.97,8.98,4.12,7.63,5.24,11.61,30.7,1.87,93.6,3.37,16.47,16.95,2.54,2.12,0.75,261.02,160.59,166.23,557.84,6.74,13.14,141.95,2.62,25.08,3.74,1.37,0.37,27.7,26.96,63.65,238.56,7.11,20.59,9.36,3.74,12.35,14.83,0.42,3,2.12,4.1,8.14,24.37
25.78,4.86,14.21,4.86,5.98,2.58,1.87,7.48,16.45,8.59,2.58,3.01,14.96,2.62,8.59,1.12,12.34,31.79,2.62,80.03,6.73,13.84,11.17,2.15,1.29,1.12,264.72,165.88,175.77,518.32,10.84,13.75,133.65,2.24,22.81,3.37,1.41,0,35.9,27.3,51.61,206.7,6.36,16.45,2.99,3.37,13.84,24.5,2.58,3.37,3.87,4.32,7.91,30.01
21.56,3.72,8.18,5.2,7.43,5.92,2.97,1.86,13.01,9.72,4.23,3.38,15.96,3.34,13.1,4.46,9.29,29.73,1.49,75.81,2.23,14.12,18.6,2.96,0.42,1.11,227.39,132.71,187.66,528.06,15.6,16.06,137.36,4.83,30.84,2.6,1.33,1.11,32.7,21.92,73.95,180.05,7.06,27.87,5.95,4.46,16.72,22.4,0,4.83,0,37.37,11.79,45.39
6.43,1.18,4.73,3.15,3.15,6.84,0.39,3.94,3.94,4.83,1.21,1.61,10.25,1.97,7.64,3.55,16.17,18.93,3.94,59.54,2.37,16.96,8.44,0.8,0.4,0.39,163.25,115.8,177.44,485.8,14.98,5.63,102.13,6.31,35.09,3.55,1.39,2.76,41.01,37.46,46.53,288.3,6.7,23.66,11.83,7.89,37.85,16.08,0,2.37,0,3.16,6.27,24.11
15.62,3.63,13.3,6.45,8.46,7.61,1.61,9.67,10.48,8.81,2.8,2.4,16.93,3.22,8.41,0.4,12.09,19.75,1.21,74.57,3.22,17.73,10.01,1.6,2,2.82,227.07,136.56,139.46,504.64,20.55,6.01,111.73,3.22,27.41,2.42,1.42,0.4,37.48,18.94,54.82,282.34,13.3,22.17,6.45,7.66,16.53,21.23,1.2,4.84,0,3.75,6.5,22.78
5.3,4.06,11.35,3.24,1.22,11.41,0.81,7.3,11.35,9.78,6.93,1.22,19.88,3.24,7.33,5.68,10.54,24.33,2.43,74.21,4.87,14.6,3.26,0.41,0.81,3.65,216.38,128.77,178.02,522.87,11.76,2.44,112.88,8.52,24.33,4.06,1.41,1.62,23.52,57.18,55.44,273.84,4.87,21.09,4.87,2.84,18.25,10.19,0,2.43,0,5.18,7.99,39.21
8.57,6.12,14.29,6.94,7.35,4.08,2.04,11.84,11.84,2.86,2.04,3.27,17.14,2.86,7.35,6.94,15.92,24.5,0.41,80.03,4.9,18.78,5.31,0.82,2.04,0.82,198.78,90.2,157.62,517.35,14.29,10.2,116.33,3.27,23.27,3.67,1.38,0.82,30.22,35.52,54.31,217.55,1.22,13.47,2.86,2.04,17.15,12.65,1.22,2.45,0,3.87,7.39,26.21
