abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
26.91,0.0,10.28,6.72,0.79,2.77,1.19,6.72,7.91,3.56,0.4,3.56,17.41,2.77,8.31,2.77,11.87,36.0,2.37,95.73,5.14,18.2,11.08,1.58,1.58,5.93,259.99,159.48,167.72,531.44,16.61,12.66,135.73,3.96,32.04,3.16,1.46,0.4,37.18,11.87,44.68,242.18,5.93,24.53,2.37,2.37,25.71,13.85,1.58,1.58,1.19,3.97,7.18,25.6
35.44,0.0,11.0,8.56,4.07,5.7,3.67,8.15,11.41,8.96,0.0,7.74,15.89,1.63,6.11,3.26,17.11,33.82,1.63,80.28,4.48,19.97,12.63,5.7,1.63,10.19,249.29,147.45,158.11,534.23,28.12,18.33,186.56,9.37,30.56,7.74,1.48,1.22,37.9,9.37,35.86,237.88,4.48,14.26,2.44,4.89,17.52,6.11,1.22,0.41,0.0,4.43,7.02,18.79
39.97,0.0,9.04,7.47,1.57,2.35,3.54,3.93,12.19,5.09,0.78,7.05,14.54,4.72,4.7,0.79,15.33,31.84,2.36,87.26,8.25,25.16,14.5,6.66,1.57,8.25,218.65,159.48,185.14,564.07,26.73,22.34,192.4,3.54,38.92,4.32,1.5,2.75,42.85,10.22,33.02,226.49,2.36,12.97,1.18,7.47,14.15,11.76,0.78,1.97,1.57,4.16,7.02,21.18
25.68,0.0,10.76,9.93,1.65,5.39,2.9,7.45,14.07,6.63,0.0,8.29,19.03,1.65,6.63,4.55,14.07,29.79,4.14,81.09,3.72,14.07,13.67,2.49,0.0,3.72,236.95,173.16,144.81,506.83,18.2,18.64,161.97,4.96,28.13,3.72,1.43,2.07,38.06,12.0,45.51,217.07,5.79,23.58,2.07,5.38,21.1,15.74,2.07,2.9,0.0,3.86,6.68,18.62
25.68,1.17,9.34,7.78,2.33,5.06,1.17,6.61,12.45,23.74,4.28,3.89,15.95,3.89,7.0,1.95,17.51,33.07,1.95,89.88,5.45,24.12,19.07,5.45,0.78,4.28,272.37,163.81,181.32,550.19,28.02,11.28,158.75,6.61,39.69,2.72,1.46,1.17,31.52,9.73,45.53,228.02,3.89,18.68,0.78,10.12,19.46,10.51,0.0,2.72,0.0,4.84,8.01,26.33
22.76,0.81,9.35,4.07,0.41,3.66,2.03,7.72,14.63,23.17,3.66,0.81,23.58,1.22,15.04,1.22,15.85,32.52,3.66,88.21,8.94,23.17,21.14,4.47,2.44,1.22,292.68,189.43,180.08,573.87,26.42,9.76,131.3,6.5,37.4,2.44,1.46,1.22,32.52,24.39,48.43,241.87,8.13,19.51,3.25,5.28,16.67,13.82,0.81,4.47,0.0,5.74,9.51,27.59
19.75,1.61,8.87,3.23,0.81,0.0,0.81,6.85,9.27,18.14,3.22,2.42,18.14,2.82,9.27,0.81,10.48,21.77,2.82,72.18,2.02,22.98,10.88,0.81,0.4,4.44,278.92,174.53,188.71,545.38,19.35,10.08,147.12,6.45,48.39,6.85,1.48,1.61,32.66,37.9,48.0,236.2,8.06,27.42,2.82,5.65,21.77,12.09,0.4,2.02,0.81,5.11,9.21,28.88
23.82,0.79,8.72,3.57,0.4,5.16,0.79,7.53,11.5,14.29,1.59,3.57,21.02,3.97,17.47,5.15,9.91,21.41,1.98,73.35,5.95,30.53,17.07,3.18,3.57,2.78,267.96,148.07,159.79,526.57,27.35,17.07,157.21,11.5,24.98,5.15,1.47,1.98,32.12,10.31,40.84,249.7,5.95,25.38,3.97,2.38,15.46,16.67,0.4,3.57,0.0,4.07,6.82,22.53
29.81,0.0,9.54,5.96,0.0,3.58,3.18,3.98,8.35,3.18,0.4,2.78,17.49,5.57,14.71,2.78,12.33,29.42,3.18,80.32,6.36,27.04,13.91,4.77,4.37,1.59,243.64,137.12,164.61,542.93,31.81,16.69,197.54,21.47,29.03,3.18,1.49,2.78,38.97,1.19,27.03,236.09,2.78,17.89,3.18,3.18,3.98,17.09,0.4,2.39,0.4,4.74,7.58,35.99
27.79,0.0,10.67,7.9,0.0,11.51,2.77,9.88,13.83,11.12,1.98,4.37,15.43,8.69,8.73,3.16,15.8,35.16,3.56,88.11,6.32,19.76,12.7,5.56,1.59,5.14,282.25,164.75,150.14,536.15,28.05,15.88,156.41,14.22,21.34,1.98,1.45,1.58,29.63,5.93,39.11,225.09,7.11,18.57,3.56,5.14,11.85,17.47,0.0,1.58,0.0,4.28,7.71,36.03
35.23,5.75,11.5,6.98,2.87,7.37,0.0,8.62,11.91,26.22,2.05,4.92,18.07,3.29,14.34,5.75,23.41,25.87,3.29,70.23,5.34,26.69,12.7,2.46,0.82,3.29,279.8,137.24,185.63,541.58,30.39,18.03,164.28,8.21,42.3,2.46,1.44,2.05,30.39,6.57,40.15,247.44,3.29,21.36,2.87,9.45,8.21,11.88,0.41,0.41,5.33,4.74,7.44,25.24
34.47,7.84,15.29,8.24,1.57,7.83,3.14,6.27,14.51,36.43,0.0,3.92,19.22,1.96,10.18,3.14,17.65,27.45,0.78,80.39,4.31,26.67,16.84,6.66,0.78,2.75,302.78,151.59,159.61,518.61,22.75,13.32,165.3,7.84,28.24,4.31,1.38,3.53,29.8,3.92,40.34,238.15,2.75,17.25,3.53,3.53,16.47,14.49,1.18,0.78,0.78,3.84,7.05,21.99
20.54,2.47,9.45,2.06,1.23,8.63,1.23,1.23,7.4,27.94,0.82,2.47,14.79,1.64,9.86,4.93,16.44,23.84,1.23,73.57,3.29,36.58,15.2,3.7,1.64,4.11,248.15,117.5,168.11,535.74,30.83,18.08,168.04,6.58,33.7,6.58,1.43,2.47,30.42,3.29,37.39,247.33,5.34,20.55,2.06,4.11,14.39,7.4,2.05,0.82,0.0,3.84,6.18,19.45
22.07,3.1,7.74,4.26,3.1,0.77,0.0,0.77,7.36,25.55,0.77,5.42,16.63,0.0,10.07,3.1,16.26,21.29,1.16,65.81,4.26,42.2,15.87,4.65,3.48,3.48,243.13,123.11,173.44,531.35,27.49,15.1,176.54,7.74,42.2,5.42,1.43,0.77,34.84,2.71,34.06,229.97,3.87,25.55,4.65,7.36,18.97,12.39,2.71,0.0,0.0,3.94,6.64,19.99
30.32,4.53,8.72,4.53,2.09,6.62,2.09,2.44,11.85,26.84,0.7,1.74,16.4,1.39,12.9,5.58,14.99,19.18,4.18,73.92,8.72,38.01,14.64,1.39,0.0,2.44,260.37,130.71,155.51,530.5,38.71,23.0,171.49,9.76,34.87,3.49,1.44,1.05,29.64,4.18,30.67,214.36,2.79,20.22,1.39,5.58,12.2,8.71,2.09,2.09,0.0,4.12,6.69,20.89
28.73,14.41,20.02,9.21,8.41,12.77,3.6,13.61,13.21,32.32,1.6,4.39,21.21,-0.4,14.37,2.8,22.02,16.81,2.4,58.85,4.8,17.21,10.77,2.0,1.2,1.6,283.32,141.26,150.92,480.38,20.02,15.16,140.46,7.21,29.62,5.6,1.38,2.0,28.42,4.8,45.64,251.4,6.81,13.21,0.4,4.4,20.82,19.95,0.0,0.8,1.6,4.94,6.96,18.89
40.38,6.81,11.21,4.0,2.4,4.0,1.6,3.2,10.81,39.58,5.2,3.6,18.8,9.21,12.4,5.6,10.01,26.82,3.2,76.86,5.6,20.42,19.99,6.0,4.0,2.8,307.88,155.14,149.32,536.21,41.63,35.99,186.73,8.41,31.63,4.8,1.49,2.4,28.42,4.4,30.41,237.11,0.8,19.22,0.4,2.0,14.01,23.99,0.8,1.2,0.0,4.5,8.29,19.83
11.84,2.04,7.36,3.68,2.45,4.9,0.82,3.27,8.17,32.26,21.23,2.45,16.35,1.63,9.39,2.04,12.26,25.34,1.63,62.53,4.9,17.57,8.17,1.63,2.04,2.86,283.79,165.78,169.6,511.24,17.58,12.25,135.16,6.13,23.29,2.86,1.36,0.82,31.47,6.54,62.53,254.8,4.5,26.15,4.9,4.5,21.25,28.17,0.82,0.82,0.0,3.16,5.84,17.69
24.8,14.48,19.3,10.05,8.85,12.4,4.42,15.28,16.08,28.8,1.6,5.2,16.08,-0.4,11.6,3.62,16.49,18.5,1.21,64.33,2.01,19.7,11.2,2.0,1.2,1.21,269.6,136.4,154.4,475.67,16.89,10.0,130.8,4.83,29.75,5.63,1.37,3.22,28.95,7.64,48.65,252.4,4.02,15.68,2.01,3.22,20.51,25.2,0.4,2.41,4.4,4.38,6.65,19.66
