abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
58.21,1.62,1.22,3.25,0.0,0.0,2.44,6.9,6.49,0.8,0.0,1.2,11.37,0.81,3.21,10.15,17.05,19.48,1.22,52.35,3.65,13.39,8.83,2.01,0.8,3.65,164.99,97.55,230.93,575.02,51.54,45.76,254.52,21.1,45.05,6.49,1.59,3.25,15.02,6.49,23.52,240.06,2.84,10.96,0.81,3.25,9.74,2.41,0.0,0.0,0.4,6.68,9.92,36.73
68.66,3.88,6.21,3.11,1.16,0.76,1.16,8.54,15.53,1.52,0.0,0.76,18.64,0.78,9.1,13.59,17.47,19.41,2.33,74.15,2.72,17.47,8.73,0.76,0.0,1.55,166.54,97.5,212.73,561.94,27.57,40.21,224.58,9.32,39.6,3.49,1.61,0.39,34.16,26.79,42.72,265.55,1.55,15.92,0.78,2.33,8.93,0.76,0.0,0.39,1.14,10.18,12.51,51.7
93.2,0.0,0.0,0.42,0.0,1.2,0.42,0.42,2.95,2.4,0.0,0.3,2.1,-1.69,25.77,13.08,8.86,13.92,0.0,29.54,1.69,14.77,8.39,4.5,0.6,0.42,196.58,119.27,268.78,589.87,79.32,26.07,189.69,29.11,88.19,4.22,1.47,5.49,20.68,6.33,17.72,234.94,0.0,12.24,0.84,2.11,5.91,3.9,0.0,0.0,0.0,7.69,9.97,44.7
55.08,0.43,0.0,3.83,0.0,1.69,2.56,1.7,1.28,3.81,0.0,0.85,5.12,-1.28,7.63,6.39,8.09,12.35,0.0,28.96,2.56,21.29,12.29,3.81,1.69,0.0,189.83,115.25,281.94,686.97,102.64,27.12,209.75,20.87,104.34,2.56,1.6,3.41,10.22,0.85,14.91,265.68,4.68,11.5,0.0,0.85,16.18,14.83,0.0,0.0,0.85,4.21,8.11,22.83
28.68,0.41,4.48,2.44,0.41,0.84,1.22,5.29,11.39,5.06,2.53,5.06,13.84,2.44,14.76,2.44,16.27,23.6,2.03,70.38,5.7,13.83,10.12,2.95,1.27,2.44,166.17,130.32,167.21,532.95,28.89,21.09,151.41,5.7,30.51,4.48,1.56,1.22,33.36,10.98,39.46,304.93,2.44,18.71,2.03,2.85,15.46,7.17,0.84,0.81,0.42,7.24,8.37,39.88
17.8,0.0,0.84,0.0,0.42,0.0,0.0,4.2,9.66,5.26,6.88,2.02,12.6,1.26,8.9,7.14,12.59,24.77,2.94,68.43,5.04,16.37,10.52,3.24,0.81,0.84,177.59,104.37,229.64,558.4,31.07,16.99,161.81,11.75,53.74,5.46,1.56,0.84,26.45,17.63,31.09,232.61,0.84,10.08,1.68,1.68,11.34,19.82,0.0,0.42,0.0,5.51,7.83,27.08
48.46,2.7,1.93,1.93,0.0,0.0,0.77,3.08,8.47,9.86,0.86,0.43,10.02,1.16,14.58,3.08,15.02,20.8,1.93,67.8,10.02,17.72,11.15,3.86,0.86,2.7,216.12,119.21,217.26,561.63,34.29,27.02,188.68,16.56,48.54,4.62,1.54,1.93,31.59,13.48,33.13,301.03,1.16,13.48,1.54,1.54,9.24,16.3,0.43,2.31,1.72,6.37,9.31,34.86
72.48,0.39,0.79,1.18,0.0,0.0,0.39,1.58,1.58,4.5,1.64,0.0,7.09,1.58,8.19,10.66,12.24,22.9,0.79,68.69,4.74,18.56,8.6,4.5,0.41,1.58,190.83,78.21,234.5,545.45,36.32,29.89,213.35,14.61,60.01,4.34,1.64,0.39,26.45,8.69,33.99,243.65,2.37,18.56,1.18,1.97,8.69,4.5,0.0,0.39,0.41,9.54,12.12,42.59
16.08,0.0,1.58,0.79,0.0,2.68,0.39,2.76,8.29,9.38,1.34,3.13,8.27,0.39,12.06,11.05,19.34,28.41,1.58,74.19,5.92,15.0,12.51,2.23,1.34,1.58,220.63,142.03,237.57,561.17,28.42,19.65,159.0,13.42,45.78,3.16,1.52,2.76,22.1,18.94,39.86,237.16,0.79,12.63,1.97,3.95,10.66,25.46,0.45,0.79,4.02,5.49,8.56,35.1
69.56,0.0,0.81,1.22,0.81,0.0,0.81,1.63,2.03,2.11,1.26,0.0,7.73,2.44,7.59,12.61,9.36,17.49,0.41,41.9,2.85,8.95,11.38,0.84,0.42,0.0,199.83,113.41,246.14,529.29,39.47,53.54,220.49,13.43,52.07,6.1,1.66,0.41,23.19,14.65,30.92,290.47,2.03,12.21,2.03,1.22,14.24,6.32,0.0,0.0,0.0,4.81,8.52,30.2
28.28,0.0,4.6,2.3,0.38,5.66,0.38,6.13,6.13,3.23,2.02,4.44,9.19,1.15,8.08,4.6,15.32,17.62,0.77,53.62,6.89,17.23,16.57,3.23,1.21,1.15,191.92,122.83,201.46,507.47,27.96,16.97,149.9,15.7,33.7,3.06,1.54,1.91,27.58,25.66,29.49,227.47,3.06,17.23,3.83,3.83,14.55,8.48,0.0,0.77,0.0,5.65,8.94,38.9
135.61,0.0,11.64,4.27,5.04,0.0,0.0,10.09,13.19,1.24,1.24,0.0,15.91,1.94,4.12,1.94,31.42,19.39,1.94,66.33,7.37,20.56,6.18,3.71,0.41,2.72,165.7,106.35,185.8,516.29,28.7,54.41,289.37,7.76,33.36,2.33,1.74,2.72,42.67,8.53,24.83,258.04,0.78,8.53,0.78,2.33,7.37,0.82,0.0,3.1,0.0,6.48,10.03,34.68
43.15,0.0,7.81,0.0,0.43,1.61,0.0,3.04,8.25,2.02,4.03,2.02,16.92,2.17,6.45,2.6,12.15,18.23,0.0,67.27,3.47,13.89,6.85,2.82,0.0,1.3,160.08,90.32,221.79,558.4,35.6,35.89,228.63,13.89,49.48,4.34,1.55,0.43,21.27,21.7,40.82,303.63,3.04,13.02,2.6,1.3,14.76,6.05,0.0,1.3,0.81,4.63,6.89,31.62
48.89,0.78,2.73,3.51,0.39,3.0,1.17,5.47,5.08,10.29,6.0,3.86,14.83,0.78,10.72,10.54,17.18,10.54,1.56,41.78,2.34,21.48,7.29,4.72,3.0,1.95,208.4,108.92,214.37,536.72,46.85,29.59,245.71,17.96,41.0,3.51,1.58,1.95,30.07,6.64,35.55,249.14,1.17,20.3,2.34,5.47,10.15,9.43,0.0,0.39,3.86,5.85,9.05,37.85
134.44,2.36,3.14,3.93,1.57,0.41,0.0,5.89,4.71,2.9,0.41,1.24,11.39,1.18,6.22,7.86,11.0,21.21,1.96,53.42,5.5,22.39,10.79,4.56,1.66,1.18,175.52,131.54,228.59,527.1,34.17,36.51,246.89,7.46,49.88,0.79,1.61,2.36,29.07,14.93,35.35,251.04,3.53,28.28,1.57,0.79,7.07,3.32,0.0,0.39,0.41,6.27,9.57,44.45
19.66,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.4,2.99,0.85,2.56,3.6,-0.4,5.98,11.58,6.39,10.38,0.0,33.13,3.99,17.56,12.39,0.43,0.43,0.4,177.78,98.72,285.43,574.51,54.29,20.94,156.84,13.97,67.47,3.19,1.47,2.79,15.97,4.39,26.77,242.74,0.8,12.77,1.6,1.6,15.97,2.99,0.85,0.0,0.0,4.8,8.17,33.91
85.75,0.41,0.82,0.82,0.0,0.0,0.82,4.1,4.91,10.51,1.68,2.1,9.83,-5.73,11.35,6.96,15.15,17.61,0.0,41.77,4.91,9.83,10.09,5.88,1.26,1.64,206.39,93.74,278.87,600.0,56.93,44.98,293.4,19.25,91.32,5.32,1.63,3.28,25.8,5.32,20.9,229.09,0.82,11.88,0.41,1.23,6.14,4.62,0.42,0.82,0.0,6.65,9.57,39.31
25.33,0.41,1.22,1.63,0.0,4.64,0.41,0.41,2.44,6.33,1.27,3.38,8.56,0.81,5.49,9.78,10.19,18.34,0.0,51.75,2.04,9.78,10.13,2.95,1.69,2.44,188.69,105.53,282.4,609.21,58.68,22.79,162.94,11.41,90.87,8.96,1.53,2.44,27.3,3.26,20.37,284.09,2.04,8.56,0.41,1.22,6.93,2.95,0.42,0.0,3.38,4.83,7.37,33.82
71.4,0.0,0.0,1.89,0.0,0.0,0.0,1.52,1.14,0.42,0.42,0.0,4.56,-1.14,1.68,4.92,10.23,13.26,1.14,41.67,1.52,10.23,2.94,1.68,0.42,0.76,140.28,79.38,270.08,574.68,45.45,35.28,333.05,16.67,79.55,4.17,1.59,1.52,28.41,3.41,23.88,171.36,3.03,15.91,3.03,1.89,9.47,0.42,0.0,0.38,5.04,8.87,13.0,51.89
107.16,0.9,2.39,1.49,0.0,0.0,0.9,5.08,6.28,1.3,0.87,0.0,11.37,1.2,4.34,11.66,9.57,11.06,0.6,42.15,5.68,12.86,9.98,6.07,1.3,0.9,147.94,109.76,243.65,560.54,44.85,52.93,321.04,19.73,58.3,4.19,1.6,2.39,14.95,8.37,26.91,180.91,1.2,14.35,1.2,1.2,8.97,1.74,0.0,0.3,1.74,8.27,11.66,44.18
