text,dimension1,dimension2,dimension3,dimension4,dimension5
review_01,-3.20754065803263,-1.621079102217441,2.4574191658953137,1.5581476495301139,-1.1416972978098978
review_02,-2.2849497287625566,-4.406407085538449,2.3949670705578265,-3.514694035811369,0.7936727808603738
review_03,0.8817076105974999,-9.04878289958354,5.308570962128441,-2.346868718504688,-0.013003741606922886
review_04,-6.9500816400626055,-1.723795561732686,1.3711920859517244,-0.4490928983868889,0.8266837477511045
review_05,-9.3446507631193,-0.6101768812977677,-7.066687434191693,-1.5017395549372454,-0.02491072978469333
review_06,-1.008841668579076,-6.583537954477615,-2.755123812245165,-0.0953301051729828,0.9187592153997112
review_07,-5.188749161978484,2.055739704485529,-2.7401382666367398,-0.17658624981798246,6.5657358619587445
review_08,-3.3420508744193693,-3.389267446483307,9.669149258124234,-3.6016862784606163,3.808507931363706
review_09,-7.050694318262923,5.97974926567647,-8.814322269822402,-3.962659114230563,0.5106100146803593
review_10,-2.9391132784962677,-0.8606559359808883,-2.47586618913916,-2.8397700046578094,-0.2786358967221517
review_11,-0.39190583391531336,-0.7445517234835816,-0.4536696367654042,1.4580407839412433,-0.879659211708856
review_12,-7.666885154330789,6.4862744386728215,-11.412929804615093,-3.130454479698,1.248952751786549
review_13,-3.1152369594313374,1.2232756561028155,-1.9976372317861983,-1.6031299302276554,2.85158243320155
review_14,-4.5513579085562785,6.344655763609092,-3.826765445961792,-2.8331810850943278,1.212123192801613
review_15,-1.7201830686228812,-4.5776176951978655,-4.0228497342227705,-3.0207575099624666,4.16872251975634
review_16,-11.450998555305569,8.14826620001875,-9.277359730388287,-4.814737359797048,2.269636899125322
review_17,-6.5581139685728935,12.596828795431412,-7.551835847604368,-1.314787821972196,-1.2006624232917915
review_18,-0.08792185311945233,-7.493968264429555,1.580383139100321,2.075402715557975,1.3173737953090736
review_19,-4.207206075873644,-3.3625228997533103,-1.5204924774698425,-1.921017256908152,-0.5120450320516812
review_20,-4.321154981650971,-2.951571983103256,2.632273704267683,0.051887705983498116,0.8106340630369007
review_21,-9.490266478375167,0.19228819656041365,-3.180006587147433,-1.9168852459130343,3.0158949828818
review_22,-5.956617575858388,-4.203263686207997,1.8725433172367496,1.1472728546306061,0.4414724637046694
review_23,-9.527648280495203,0.13756172692914914,-8.536427153072617,-2.220227290949441,-0.2258064604145866
review_24,-2.499618969481708,-5.2310634819234725,-0.11611803535426735,1.9661314015553804,0.9440818046112056
review_25,0.3874617508934261,1.5277550856889024,2.7660651535334657,-2.8248428583900558,0.9830097506363654
review_26,-3.0152995809099963,-2.7727003180167538,-6.732352055764195,-0.35003336956557696,-0.4982189055111098
review_27,-1.3860526370149078,-0.3201086064153742,-1.5347056178757392,0.8139572417331942,0.9157915715206429
review_28,-4.832879913596795,0.13955358798080875,-0.1888928724482908,-0.6085281262510601,1.7933714423611171
review_29,-10.576035043942447,0.3843004229851192,-10.77760388977283,-1.248053438805501,0.0601683232028048
review_30,-5.5109618319104525,8.539080452830907,-5.20065652830408,-3.753104937060304,1.3811138201532671
review_31,-6.619517905864043,1.1466350665266596,-6.6115598086332446,-4.4113825594987714,-0.12133510842604325
review_32,-9.664706671045248,5.184676805126589,-12.787448958817047,-1.4508852168923818,3.964524116941417
review_33,-7.199296015503008,8.262898342340259,-5.627104458451611,-3.714987537480236,2.746487423484207
