abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
14.87,6.95,16.77,5.32,2.45,6.2,2.04,9.41,14.31,33.04,12.8,7.43,12.68,2.86,11.15,0.41,11.86,17.59,2.04,66.67,5.73,17.59,17.35,5.78,2.89,2.45,291.2,162.33,146.42,476.89,15.54,22.3,136.72,2.86,21.27,1.23,1.36,0.41,41.72,19.63,46.22,213.96,4.5,18.81,1.64,1.23,19.22,7.02,0.0,1.64,0.0,3.59,6.4,26.82
16.57,8.23,18.94,4.53,4.12,5.39,1.24,7.82,11.53,27.75,3.31,4.14,13.59,-0.41,9.94,0.82,9.47,18.53,1.24,66.69,3.71,19.35,7.46,0.41,0.83,1.24,275.89,149.54,165.91,519.77,14.82,5.8,109.36,2.88,28.82,7.41,1.32,1.24,39.93,15.64,60.13,257.66,3.29,23.47,2.47,1.24,18.94,11.6,0.41,2.06,0.0,3.49,6.89,25.53
23.08,7.96,9.64,5.87,2.51,1.65,4.19,5.45,5.03,15.25,2.47,3.3,15.93,1.68,8.66,2.1,12.15,23.05,1.26,64.12,5.45,28.5,22.67,6.6,2.06,1.68,285.66,166.12,177.7,521.37,21.37,9.89,154.99,6.29,40.23,2.51,1.43,2.1,41.49,26.4,38.56,241.55,2.93,22.63,1.26,2.1,18.44,17.72,0.0,0.84,3.3,3.49,6.55,20.46
13.87,13.11,20.49,11.07,1.23,6.53,3.28,8.2,17.62,9.38,1.22,2.45,20.5,5.33,12.24,1.23,18.03,34.02,4.1,98.36,4.92,16.8,14.69,0.82,0.82,3.69,245.21,148.51,126.64,516.8,16.81,6.12,161.16,6.15,15.98,4.51,1.34,0.41,34.02,27.05,52.05,247.25,2.87,15.16,2.46,5.33,10.25,19.99,0.41,2.87,0.0,3.72,6.56,20.88
8.39,8.63,11.1,13.56,0.41,15.97,2.47,5.75,11.92,12.38,0.8,3.19,23.85,5.75,19.57,1.23,11.92,25.89,3.29,67.41,6.58,20.96,10.78,1.6,1.2,7.4,261.98,131.39,152.9,490.13,14.38,5.19,107.43,6.17,24.25,5.34,1.33,0.82,35.76,6.99,44.0,196.09,0.41,23.02,3.29,1.64,20.14,17.97,0.4,1.64,0.0,3.54,6.32,27.13
12.99,8.52,11.5,6.81,2.13,11.41,1.7,9.37,10.65,10.23,6.69,2.36,20.02,3.83,12.2,5.11,12.78,23.0,2.56,70.27,5.96,24.28,11.81,3.15,0.79,5.11,258.17,146.4,153.32,536.2,30.67,9.05,129.48,4.26,24.7,3.83,1.35,0.85,30.66,17.89,38.33,216.45,3.83,17.46,1.28,5.11,22.15,15.35,1.18,2.13,2.75,3.64,6.6,22.96
6.27,4.1,14.33,4.5,3.28,4.18,1.64,9.01,15.97,1.25,2.92,2.09,18.03,3.69,11.28,5.32,9.01,20.88,0.41,83.13,1.64,13.1,11.7,0.42,1.67,0.41,203.01,132.0,181.0,538.49,16.79,5.43,122.81,2.87,30.71,6.55,1.31,1.23,27.85,16.79,58.56,307.85,6.14,14.33,5.32,1.64,21.29,7.94,0.42,4.5,0.0,3.34,6.46,26.84
22.21,5.81,13.27,7.47,6.64,7.12,2.07,5.81,13.27,26.82,3.35,2.93,13.67,11.61,7.96,3.73,12.86,19.91,2.07,77.15,6.22,19.08,11.32,1.26,1.26,0.83,264.88,155.49,178.35,522.19,22.81,10.06,138.31,6.64,30.69,6.64,1.38,1.66,34.84,26.96,53.92,258.59,1.24,15.35,2.49,1.24,16.59,12.57,0.84,0.41,5.03,3.73,7.61,22.61
13.3,4.59,12.1,7.09,7.51,12.9,2.92,7.09,11.68,13.7,4.03,1.61,20.86,5.84,11.29,2.5,22.53,21.69,2.92,79.27,8.34,26.28,14.51,1.61,1.21,0.83,297.06,175.74,138.92,498.33,18.77,5.24,91.09,7.09,17.52,2.09,1.34,2.92,35.04,20.86,40.07,211.61,8.34,18.77,3.34,2.09,15.85,27.01,1.21,2.09,0.0,3.16,6.07,25.12
11.0,0.0,6.82,1.28,1.7,8.15,0.0,3.83,9.37,7.74,1.22,3.67,13.21,0.85,13.85,4.26,25.14,28.12,1.28,74.14,3.41,20.88,12.22,2.04,1.63,1.7,248.57,159.33,165.74,546.23,32.81,7.33,133.25,8.95,34.09,4.26,1.33,3.41,38.35,11.08,43.89,231.05,4.26,16.62,4.26,8.1,10.23,26.49,0.0,6.82,0.41,3.72,6.13,22.6
18.99,6.39,9.37,11.07,1.28,3.3,2.55,2.98,11.07,6.19,0.0,2.89,17.46,1.7,9.91,1.28,14.47,28.52,3.41,70.67,9.37,20.43,10.32,1.65,1.65,2.98,227.09,161.02,186.89,534.7,18.3,16.1,145.33,8.51,41.72,4.26,1.4,1.28,34.48,20.86,49.38,203.14,4.68,30.23,3.41,2.13,16.6,13.21,1.65,4.26,0.0,3.84,7.77,20.81
15.41,3.63,13.3,6.45,8.46,7.7,1.61,10.07,10.48,7.7,2.03,3.65,16.91,3.22,15.0,0.4,12.09,19.74,1.21,74.54,3.22,17.73,19.06,1.62,1.22,2.82,265.61,165.86,139.4,506.04,20.95,6.08,115.17,3.22,27.4,2.42,1.35,0.4,37.47,18.13,55.2,233.58,13.3,22.16,6.45,7.66,16.52,27.58,0.81,4.83,0.0,3.43,6.12,22.25
22.8,4.05,11.33,3.24,1.21,2.04,0.81,7.28,11.33,5.7,0.0,10.18,19.82,3.24,11.4,5.67,10.52,24.28,2.43,74.06,4.86,14.57,17.1,3.66,0.81,3.64,292.75,168.97,181.3,524.08,12.55,12.21,107.9,8.5,25.09,4.05,1.37,1.62,23.07,55.85,55.44,242.26,4.86,21.04,4.86,2.83,18.21,44.38,0.0,2.43,0.0,3.05,5.8,15.59
14.03,6.12,14.29,6.94,7.35,10.32,2.04,11.84,11.84,7.02,0.0,4.13,17.14,2.86,18.57,6.94,15.92,24.5,0.41,80.03,4.9,18.78,18.98,3.3,0.83,0.82,308.3,165.5,160.07,519.8,14.29,13.21,120.1,3.27,23.68,3.67,1.36,0.82,30.22,35.52,54.31,156.42,1.22,13.47,2.86,2.04,17.15,23.11,0.83,2.45,0.41,3.95,7.87,26.21
6.06,3.65,12.98,7.3,4.06,6.86,2.84,11.76,20.68,7.27,3.63,2.02,22.72,1.62,16.96,2.43,17.84,38.93,1.62,98.95,6.08,31.63,13.73,0.0,0.81,3.65,226.48,125.96,132.6,539.33,17.03,9.29,118.29,4.46,21.9,1.62,1.33,1.22,27.98,9.33,47.04,270.89,4.06,23.11,2.43,1.62,22.71,10.5,0.4,1.22,0.0,3.74,6.37,25.35
14.68,8.98,16.39,8.98,0.39,6.12,3.9,11.32,23.03,8.97,4.49,6.93,12.87,0.78,14.68,1.17,29.66,36.3,7.42,94.07,6.25,25.76,14.27,0.82,1.63,5.07,223.49,143.56,153.01,538.25,21.08,7.75,122.35,8.59,29.66,3.12,1.34,2.73,32.79,7.81,33.18,279.36,1.17,17.56,0.78,0.39,15.61,11.42,0.82,1.56,0.0,4.04,7.31,30.42
15.73,3.25,20.74,4.47,0.41,2.9,1.22,12.2,13.01,31.88,3.31,6.63,14.24,3.25,13.66,4.88,26.43,30.09,4.88,80.11,7.32,21.15,16.56,2.48,2.9,1.63,281.16,157.35,187.47,525.01,30.5,10.77,142.03,9.35,37.01,3.66,1.38,2.85,25.21,11.79,39.45,228.57,2.85,14.23,0.81,3.25,15.45,14.91,2.07,2.03,0.0,4.19,7.36,30.36
21.22,6.3,22.06,1.97,0.0,0.85,1.58,14.97,9.85,8.06,3.82,2.55,19.3,1.97,7.64,0.79,20.49,25.61,3.15,82.35,11.82,18.12,15.7,6.37,3.4,2.36,275.89,158.74,157.21,527.97,20.09,15.7,154.92,2.36,24.03,7.49,1.41,1.58,35.07,13.79,39.01,269.95,1.18,16.94,1.18,0.39,20.09,23.77,2.12,0.0,0.85,4.42,7.12,33.63
15.08,0.81,8.95,3.25,4.07,0.84,0.41,5.7,8.54,0.84,0.42,8.8,11.79,3.25,7.12,5.7,10.98,15.05,2.44,65.5,2.85,19.53,16.34,2.09,1.68,3.66,280.27,182.24,208.3,508.14,16.68,7.12,127.78,7.32,45.57,2.44,1.35,1.22,36.62,30.51,45.16,216.59,7.32,21.56,5.29,5.29,21.16,19.69,1.26,2.85,0.42,4.21,7.62,28.47
