abstract,question,particle,interrogative,exclamation,SPP,WH,PUBV,mono_negation,FPP,honourifics,INPR,PRIV,other_personal,emotion,classical_func,BE,modify_adv,COND,RB,EX,DEMP,AMP,HDG,DWNT,di_negation,HSK_1,HSK_3,noun,lexical_density,NOMZ,disyllabic_words,HSK_6,PHC,consecutive_nouns,aux_adj,AWL,BPIN,classifier,person,mono_verbs,unique,modify_marker_di,imperfect,descriptive,simile,PEAS,TPP,SMP,modify_marker_de,english,ACL_std,ACL,ASL
11.81,11.92,69.39,26.82,3.83,10.06,6.39,5.96,22.14,27.56,3.5,0.44,20.43,4.68,22.75,0.0,14.47,21.71,2.55,52.79,6.39,31.08,10.06,2.19,1.31,0.85,225.28,179.35,101.75,368.51,2.13,4.37,116.36,0.85,5.53,0.43,1.4,0.43,23.84,60.03,43.83,304.02,1.28,7.24,0.43,1.28,10.22,7.87,0.0,1.7,0.0,22.27,10.97,77.86
15.4,4.0,61.2,20.8,1.6,4.58,3.2,14.4,30.0,5.41,1.25,3.75,17.6,5.6,11.66,0.8,16.0,19.6,0.4,65.6,2.8,23.2,23.73,1.25,2.08,2.0,254.79,167.36,116.0,417.83,6.4,8.33,109.49,1.2,10.8,2.4,1.46,0.4,19.6,49.6,45.58,262.7,0.0,6.0,0.4,0.4,7.6,34.14,0.83,2.4,0.42,2.79,5.8,18.36
19.49,4.81,24.87,6.82,10.43,5.97,1.6,11.23,17.25,11.54,1.59,6.76,19.26,4.01,11.14,1.6,8.82,26.47,3.21,75.01,6.42,11.63,5.97,2.39,1.59,1.2,182.58,111.77,157.64,471.11,9.63,15.91,151.55,6.42,22.06,2.81,1.54,0.8,42.52,17.25,44.54,255.77,2.01,16.85,0.4,0.8,8.42,8.35,0.0,2.01,0.0,3.85,6.44,29.29
19.91,9.45,19.69,3.15,11.42,13.67,1.18,7.88,10.63,9.76,2.73,16.4,14.19,2.76,15.23,0.39,9.45,21.66,1.18,66.96,3.94,10.63,10.54,2.34,0.0,1.58,247.95,139.4,170.93,514.96,16.54,6.25,136.67,2.76,31.9,3.15,1.42,0.0,28.36,33.87,54.72,219.06,8.27,21.66,5.51,1.58,14.97,14.06,0.0,2.76,0.39,3.48,4.22,13.31
18.76,11.89,18.4,10.35,8.05,19.16,1.92,10.74,9.59,23.46,5.47,4.3,14.96,2.68,28.93,0.38,21.86,20.32,3.45,58.28,6.9,14.19,11.73,2.74,1.56,1.53,280.3,154.81,167.18,496.93,20.33,7.04,126.66,4.98,32.59,1.92,1.42,0.38,42.94,3.83,33.72,213.45,4.22,14.57,0.0,0.77,11.5,10.16,0.0,3.45,1.56,3.73,6.22,19.13
15.4,10.75,49.61,11.58,8.27,6.24,2.48,9.09,19.43,25.38,7.49,3.75,14.88,7.03,12.9,1.65,14.47,27.7,0.41,70.69,7.85,29.35,15.81,2.91,0.42,3.31,258.01,129.42,115.75,415.87,9.1,9.99,143.99,1.24,14.47,1.24,1.4,0.0,28.52,47.54,42.99,223.05,1.24,11.58,0.83,1.65,13.23,12.48,0.42,0.41,0.83,3.46,5.92,21.88
10.51,15.38,67.06,11.83,20.12,11.35,3.16,6.31,24.06,23.12,9.25,4.62,7.88,3.16,15.55,0.0,16.57,23.67,0.79,65.88,9.07,28.4,15.97,0.42,0.84,3.94,301.81,153.85,108.88,381.91,1.97,6.73,97.52,0.0,10.26,1.58,1.3,0.0,21.7,55.23,32.39,200.92,0.0,7.89,0.39,0.79,2.37,11.77,0.0,1.58,5.04,4.13,6.04,22.79
17.37,8.72,23.67,8.72,2.91,6.06,2.91,12.04,22.84,18.59,22.22,2.42,18.7,7.89,17.78,3.74,15.37,24.09,2.08,84.3,8.72,24.92,13.74,0.81,1.62,3.74,268.28,157.98,160.3,501.04,9.14,9.29,122.83,4.15,23.26,3.74,1.35,1.66,32.81,17.44,44.0,164.04,0.42,3.32,1.66,2.08,6.64,6.87,0.0,1.25,19.39,3.47,4.93,19.79
16.9,20.42,25.52,10.99,12.96,20.7,5.5,18.06,21.59,32.95,11.83,4.65,11.78,3.14,11.83,0.79,11.39,23.95,0.39,67.53,6.67,12.56,10.98,0.0,0.42,2.75,278.83,143.22,224.97,509.22,19.24,2.53,98.86,4.71,50.26,2.36,1.37,0.0,22.38,6.28,38.45,146.6,1.18,7.46,2.36,1.18,5.89,4.65,0.0,1.96,0.84,3.47,4.34,20.51
9.36,10.8,22.39,10.4,8.8,34.47,1.6,21.19,13.19,34.89,5.53,4.26,21.6,5.6,8.09,1.2,13.19,23.99,1.2,67.97,12.0,21.19,5.96,0.85,0.43,2.8,320.43,120.43,155.14,502.6,16.4,0.0,90.64,6.4,20.39,2.0,1.26,0.4,42.38,2.0,42.78,94.89,6.4,10.0,0.8,2.0,12.79,3.83,0.0,1.6,0.85,3.02,3.5,14.88
12.4,15.57,26.22,12.84,6.56,50.78,4.37,20.49,17.48,33.99,12.79,6.4,19.12,11.47,15.59,2.19,11.75,14.75,3.28,60.91,6.01,14.48,8.4,0.0,0.0,2.19,309.88,152.74,162.52,480.74,14.21,2.8,92.76,4.37,19.67,2.19,1.27,1.09,33.05,2.46,35.24,139.14,6.28,11.47,0.82,1.09,15.57,6.4,0.0,2.19,0.4,3.27,3.88,15.67
16.03,14.66,35.75,11.08,15.37,20.31,5.36,10.01,18.59,22.09,6.06,5.34,16.81,4.29,16.39,4.65,16.45,23.6,1.79,68.29,5.36,17.16,11.4,0.71,0.71,2.5,271.11,141.08,166.61,462.09,11.44,4.63,102.24,3.22,23.24,1.43,1.32,0.72,28.6,27.89,39.7,175.28,1.43,8.94,0.36,1.43,10.37,4.28,0.0,3.22,2.14,3.61,4.93,17.83
10.51,14.03,30.25,9.21,12.28,15.76,4.38,27.62,15.34,27.15,14.01,3.5,16.23,3.07,22.77,0.0,10.52,19.73,2.63,58.31,4.38,14.47,13.13,2.19,0.44,0.0,281.96,163.75,156.07,483.35,6.58,6.13,114.71,4.38,21.04,3.51,1.28,0.88,22.36,13.15,49.96,170.75,8.33,12.71,0.0,1.32,14.03,11.38,0.0,2.63,1.31,3.41,5.6,23.82
5.51,11.42,28.73,8.84,17.68,17.27,3.31,20.26,16.94,16.54,9.56,2.57,13.61,4.79,13.23,0.37,13.63,22.47,2.58,69.98,4.79,16.94,12.86,0.74,1.1,0.0,266.08,169.06,163.9,483.81,5.15,5.15,95.55,1.1,16.57,0.74,1.3,0.0,32.78,24.31,45.99,168.69,2.95,10.68,1.47,0.0,14.36,7.35,0.37,2.58,0.74,3.95,5.34,20.77
11.13,5.92,29.58,12.18,6.61,19.82,4.18,16.7,15.66,17.04,6.26,6.61,16.71,2.09,15.99,1.04,13.22,21.92,1.39,65.07,3.83,16.7,10.78,1.39,1.04,2.09,269.12,147.43,145.79,456.67,14.27,10.43,94.23,2.78,19.49,3.48,1.38,0.0,23.66,43.15,38.29,166.2,3.13,10.79,2.09,1.74,12.87,7.3,0.0,2.44,3.48,4.79,5.5,19.83
6.01,24.07,65.2,12.54,5.52,15.02,2.51,9.03,13.54,23.03,4.51,7.51,11.53,9.03,16.02,1.5,21.06,23.07,0.5,61.18,4.51,25.08,14.52,0.5,0.0,2.01,262.39,132.7,89.27,367.6,7.52,2.5,88.13,2.51,12.04,1.0,1.37,0.0,15.55,97.29,42.13,147.22,1.0,17.05,1.5,0.5,9.53,2.5,0.5,0.5,3.51,2.88,3.27,8.56
3.6,23.2,64.4,13.2,18.4,3.2,2.8,5.6,12.4,23.59,2.0,8.0,6.0,10.0,12.79,1.2,14.0,14.0,0.0,48.4,7.2,28.0,13.99,0.0,0.0,0.0,228.31,119.55,109.6,350.2,5.6,0.0,91.16,0.0,11.6,0.8,1.34,0.8,25.6,100.4,43.37,127.15,0.0,10.0,0.4,0.8,5.2,3.6,0.0,2.0,0.0,2.63,3.13,8.77
7.77,13.21,39.64,9.72,8.55,12.04,4.28,14.38,15.55,19.81,6.21,5.83,18.66,7.77,14.37,1.55,13.21,27.21,1.55,65.68,5.05,22.15,7.77,0.0,0.0,1.17,263.69,167.38,143.41,454.33,5.44,1.55,105.63,2.72,14.38,3.5,1.33,0.0,25.65,49.36,47.8,169.32,5.05,12.44,1.55,0.39,16.32,10.49,0.0,2.33,0.39,3.82,5.0,16.88
8.12,16.24,27.06,11.28,17.14,14.88,4.51,22.1,10.83,31.57,13.08,5.41,19.39,2.26,20.3,1.8,17.14,17.59,0.9,56.38,5.86,9.47,18.04,1.8,1.8,0.9,296.35,167.34,164.64,482.87,7.22,3.61,99.68,5.86,19.85,0.9,1.27,0.45,30.22,8.57,54.55,202.98,5.86,11.73,1.8,2.26,15.34,11.73,0.0,2.71,2.71,3.79,5.33,20.1
